"TestCase","Key Word","Argument 1","Argument 2"
,"importJava","demo.actions.focus.*"
,"importJava","demo.links.TestLinks"
,"importJava","demo.actions.mouse.ClickCombo"
,"importJava","demo.actions.mouse.ClickTester"
,"importJava","demo.training.UserModule"
"//","importJava","demo.actions.focus.WindowFocus"
"//","importJava","demo.actions.focus.Focus"
"//","importJava","demo.actions.focus.*"
"My First Testcase","[Documentation]","My testcase description. Modify as needed"

"valid user","$userModule.login","test","secret"
,"$userModule.addBooks","1","2","3"
,"$total=","[ReturnValue]"
,"$userModule.verifyTotal","$total"
,"$userModule.logout"

"invalid user","$userModule.login","test","se"
,"$userModule.verifyNotLoggedIn"
,"$userModule.verifyErrorMessage","Invalid username or password"

"test click","$clickTester.click"
,"$clickTester.rightClick"
,"$clickTester.doubleClick"
,"$clickTester.clickCheckbox"
,"$clickTester.clickRadioButton"

"test combination click","$clickCombo.testAltClick"
,"$clickCombo.testCtrlClick"
,"$clickCombo.testMetaClick"
,"$clickCombo.testShiftClick"
,"$clickCombo.testNormalClick"
,"$clickCombo.testCombinationClicks"

"test focus","$focusTest.testBlur"
,"$focusTest.testFocus"
,"$focusTest.testActiveElement"

"//test window focus","$windowFocusTest.testFocusWindow"
"//","$windowFocusTest.testTakeScreenshotAndFocusWindow"
"//","$windowFocusTest.testTakePageScreenshotAndFocusWindow"

"test links on index page","$testLinks.testTitle"
,"$testLinks.testLinks"
,"$testLinks.testIsVisible"
